ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source,Contribution_ID
0_0,0,1,1,- - u,,pronouns
0_1,0,emp,2,r ə,,pronouns
1_0,1,1,1,- w ɨ,,pronouns
2_0,2,1,1,ɨ w ɨ,,pronouns
3_0,3,1,1,- - u,,pronouns
3_1,3,emp,2,r o,,pronouns
4_0,4,1,1,- - u,,pronouns
4_1,4,emp,2,r ə,,pronouns
5_0,5,1,1,ə w ɨ,,pronouns
6_0,6,1,1,- - u,,pronouns
6_1,6,emp,2,r o,,pronouns
7_0,7,1,1,- - u,,pronouns
7_1,7,emp,2,r o,,pronouns
8_0,8,1,1,- - u,,pronouns
8_1,8,emp,2,r ə,,pronouns
9_0,9,1,1,a w u,,pronouns
10_0,10,1,1,o w ɨ,,pronouns
11_0,11,1,1,- - uu,,pronouns
11_1,11,emp,2,r ɨ,,pronouns
12_0,12,1,1,e w ɨ,,pronouns
13_0,13,1,1,- w ɨ,,pronouns
13_1,13,hform,2,h ɨ,,pronouns
14_0,14,1,1,- - u,,pronouns
14_1,14,hform,2,h ɨ,,pronouns
15_0,15,1,1,- j u,,pronouns
16_0,16,1,1,ə w ɨ,,pronouns
16_1,16,emp,2,r ə,,pronouns
17_0,17,1,1,- j uu,,pronouns
17_1,17,emp,2,r ə,,pronouns
18_0,18,1,1,- w ɨ,,pronouns
18_1,18,emp,2,r ə,,pronouns
19_0,19,1,1,- w ɨ,,pronouns
19_1,19,hform,2,h ɨ,,pronouns
20_0,20,1,1,- - u,,pronouns
20_1,20,emp,2,r ə,,pronouns
21_0,21,1,1,- w ɨ,,pronouns
21_1,21,hform,2,h -,,pronouns
22_0,22,1,1,o w ɨ,,pronouns
22_1,22,emp,2,r o,,pronouns
23_0,23,1,1,- - u,,pronouns
23_1,23,emp,2,r ə,,pronouns
24_0,24,1,1,- j u,,pronouns
24_1,24,emp,2,r ə,,pronouns
25_0,25,1,1,- j u,,pronouns
25_1,25,emp,2,r ə,,pronouns
26_0,26,1,1,ə w ɨ,,pronouns
27_0,27,1,1,- w ɨ,,pronouns
28_0,28,1,1,o w ɨ,,pronouns
28_1,28,emp,2,r o,,pronouns
29_0,29,1,1,- - u,,pronouns
29_1,29,emp,2,r o,,pronouns
30_0,30,1,1,- - u,,pronouns
30_1,30,emp,2,r e,,pronouns
31_0,31,1,1,- w ɨɨ,,pronouns
32_0,32,1,1,- - u,,pronouns
32_1,32,emp,2,ɣ e,,pronouns
33_0,33,1,1,o w ɨ,,pronouns
34_0,34,1,1,ɨ w u,,pronouns
35_0,35,1,1,a w ɨ,,pronouns
36_0,36,1,1,- w ɨ,,pronouns
36_1,36,emp,2,r ə,,pronouns
37_0,37,1,1,a w ɨ,,pronouns
37_1,37,emp,2,r -,,pronouns
38_0,38,2,1,- a m ə,,pronouns
38_1,38,emp,2,r ə,,pronouns
39_0,39,2,1,- ə m ə,,pronouns
40_0,40,2,1,- o m o,,pronouns
40_1,40,emp,2,r o,,pronouns
41_0,41,2,1,- o m o,,pronouns
41_1,41,emp,2,r o,,pronouns
42_0,42,2,1,- ə m ə,,pronouns
43_0,43,2,1,- ə m ə,,pronouns
43_1,43,emp,2,r ə,,pronouns
44_0,44,2,1,- o m o,,pronouns
44_1,44,emp,2,r o,,pronouns
45_0,45,2,1,- o m -,,pronouns
45_1,45,emp,2,r o,,pronouns
46_0,46,2,1,- a m ə,,pronouns
46_1,46,emp,2,r ə,,pronouns
47_0,47,2,1,- a m o,,pronouns
47_1,47,emp,2,r o,,pronouns
48_0,48,2,1,- o m o,,pronouns
48_1,48,emp,2,r o,,pronouns
49_0,49,2,1,- a m ɨ,,pronouns
49_1,49,emp,2,r ɨ,,pronouns
50_0,50,2,1,- a m ə,,pronouns
50_1,50,emp,2,r ə,,pronouns
