ID,Language_ID,Form,Segments,Comment,Source,Contribution_ID,Parameter_ID
0,aku,wɨ,w ɨ,,meira1998proto[159],pronouns,1
1,apa,ɨwɨ,ɨ w ɨ,,koehn1986apalai[95],pronouns,1
2,car,əwɨ,ə w ɨ,,robayo2000avance[174],pronouns,1
3,kar,awu,a w u,,courtz2008carib[52],pronouns,1
4,kax,owɨ,o w ɨ,,schuring2018kaxuyana[94],pronouns,1
5,mak,ewɨ,e w ɨ,,maquiritaricaceres2011[167],pronouns,1
6,pan,ju,j u,,panarepayne2013[88],pronouns,1
7,PTar,əwɨ,ə w ɨ,,meira1998proto[64],pronouns,1
8,tri,wɨ(ɨ),w ɨɨ,,triomeira1999[152],pronouns,1
9,wai,owɨ,o w ɨ,,hawkins2015dictionary,pronouns,1
10,way,ɨwu,ɨ w u,,camargo2010wayana[44],pronouns,1
11,wmr,awɨ,a w ɨ,,waimiribruno2003[77],pronouns,1
12,aka,urə,u + r ə,,stegeman2014akawaio[173];akawaiocaesar2003[106],pronouns,1
13,ara,uro,u + r o,,desouza2010arara[87],pronouns,1
14,bak,urə,u + r ə,,meira2005southern[180],pronouns,1
15,hix,uro,u + r o,,hixkaryanaderby1985[7],pronouns,1
16,ikp,uro,u + r o,,ikpengpacheco2001[119],pronouns,1
17,ing,urə,u + r ə,,cruz2005fonologia[162],pronouns,1
18,mac,uurɨ,uu + r ɨ,,macushiabbott1991[99],pronouns,1
19,PC,əwɨ(rə),ə w ɨ + r ə,,,pronouns,1
20,pem,juurə,j uu + r ə,,swiggers2010gramatica[120],pronouns,1
21,pno,urə,u + r ə,,mattei2003pemono[48],pronouns,1
22,PMan,wɨrə,w ɨ + r ə,,,pronouns,1
23,PPar,owɨ(ro),o w ɨ + r o,,,pronouns,1
24,PPek,urə,u + r ə,,,pronouns,1
25,PPem,jurə,j u + r ə,,,pronouns,1
26,PPP,ju(rə),j u + r ə,,,pronouns,1
27,PWai,owɨ(ro),o w ɨ + r o,,,pronouns,1
28,tam,ure,u + r e,,gilij1784saggio[197],pronouns,1
29,uxc,uɣe,u + ɣ e,,kuikurodossantos2007[55],pronouns,1
30,yab,wɨrə,w ɨ + r ə,,mattei2003pemono[49],pronouns,1
31,yuk,awɨ(r),a w ɨ + r,,largo2011yukpa[57],pronouns,1
32,map,wɨhɨ,w ɨ + h ɨ,,mattei2003pemono[48],pronouns,1
33,map,uhɨ,u + h ɨ,,mattei2003pemono[48],pronouns,1
34,pno,wɨh,w ɨ + h,,mattei2003pemono[48],pronouns,1
35,PMan,wɨhɨ,w ɨ + h ɨ,,,pronouns,1
36,aku,əmə,ə m ə,,meira1998proto[159],pronouns,2
37,bak,əmə,ə m ə,,meira2005southern[180],pronouns,2
38,PTir,əmə,ə m ə,,,pronouns,2
39,tri,əmə,ə m ə,,triomeira1999[152],pronouns,2
40,aka,amərə,a m ə + r ə,,akawaiocaesar2003[107],pronouns,2
41,apa,omoro,o m o + r o,,koehn1986apalai[95],pronouns,2
42,ara,omoro,o m o + r o,,souza1993arara,pronouns,2
